"day","n","contestant"
2021-08-04,379,"liquorose"
2021-08-03,6,"jaypaul"
2021-08-04,23,"jaypaul"
2021-08-03,53,"nini"
2021-08-04,125,"nini"
2021-08-03,14,"peace"
2021-08-04,72,"peace"
2021-08-04,8,"princess"
2021-08-03,95,"saga"
2021-08-04,221,"saga"
2021-08-03,14,"sammie"
2021-08-04,201,"sammie"
2021-08-03,10,"saskay"
2021-08-04,16,"saskay"
2021-08-04,36,"tega"
